gender,location_type,program_enrolled,financial_aid_status,part_time_work,career_alignment,family_support,stress_levels,internet_connectivity_issues,parents_education,ragging_experience,age,family_income,distance_to_institute,tenth_marks,attendance_rate,test_scores_avg,practical_skills_rating,backlogs,teaching_quality_rating,motivation_score,num_siblings,dropout
Female,Urban,ECE,Partial,Yes,Low,High,Low,No Issues,Both College,No,21,30681.0,4.6,73.4,77.2,67.1,84.3,1,4,5,2,No
Male,Rural,Electrical,Partial,Yes,Low,Medium,Medium,Occasional Issues,Both School,No,21,17579.0,50.0,90.7,60.8,47.5,73.5,0,7,5,2,Yes
Male,Urban,Computer IT,Partial,Yes,Low,Low,Medium,Frequent Issues,Mixed,Yes,20,4952.0,5.3,69.7,57.2,66.2,78.2,0,8,3,3,Yes
Male,Rural,Plumbing,Partial,Yes,Medium,Low,High,No Issues,Both School,No,20,14778.0,27.89,84.3,62.6,44.9,43.6,1,6,4,4,Yes
Female,Semi-urban,ECE,Partial,Yes,Low,Medium,Medium,No Issues,Both College,No,22,8725.0,6.1,77.3,83.9,100.0,100.0,2,8,5,3,No
Female,Rural,ECE,No,Yes,Medium,High,High,No Issues,No,No,20,3480.0,12.61,74.4,55.0,78.8,100.0,1,7,8,2,No
Female,Rural,Computer IT,Partial,Yes,High,Medium,Low,Occasional Issues,Both College,No,19,12614.0,8.6,93.8,69.3,87.2,93.8,0,10,7,2,No
Female,Rural,Civil,Partial,No,Medium,Medium,Medium,No Issues,Both School,No,18,31353.0,17.93,87.0,82.4,71.8,73.4,0,7,5,1,No
Male,Semi-urban,Computer IT,Full,No,High,High,Low,Occasional Issues,No,No,22,4437.0,7.2,71.0,27.9,67.4,73.5,0,8,6,4,No
Male,Semi-urban,Electrical,No,Yes,Medium,High,Medium,Occasional Issues,Mixed,No,18,4922.0,8.2,86.9,77.9,81.3,90.3,1,10,5,2,No
Male,Rural,Civil,Full,No,Medium,Medium,High,Frequent Issues,Mixed,Yes,16,5139.0,11.49,79.8,48.7,50.1,59.7,0,6,4,5,Yes
Male,Semi-urban,Mechanical,No,Yes,Medium,Medium,Low,No Issues,Mixed,No,22,45190.0,2.9,77.6,73.0,73.1,68.3,0,6,6,2,No
Male,Rural,Civil,Full,No,Medium,Medium,High,Frequent Issues,Both College,No,19,31307.0,17.65,76.1,61.9,61.0,73.0,1,6,5,3,No
Male,Urban,Electrical,Partial,Yes,Low,Low,Medium,No Issues,No,No,22,4656.0,5.6,80.8,67.7,43.7,54.3,1,6,4,7,Yes
Female,Semi-urban,Welding,Partial,No,Low,High,Medium,No Issues,Both College,No,18,7732.0,41.9,80.0,77.1,93.5,90.2,0,7,7,3,No
Female,Rural,Civil,Full,No,Medium,Low,Medium,Occasional Issues,No,No,28,6491.0,7.49,86.0,76.4,77.9,80.2,2,4,4,1,No
Male,Rural,Electrical,Partial,No,Medium,Medium,Low,No Issues,No,No,20,7497.0,22.9,70.8,85.0,61.4,59.3,0,4,9,3,No
Female,Semi-urban,Electrical,Partial,No,Medium,Medium,Medium,No Issues,Both College,No,17,14180.0,24.2,63.6,27.6,44.1,61.5,2,9,4,3,Yes
Female,Urban,Plumbing,No,Yes,Medium,Low,High,No Issues,Both School,No,22,13764.0,11.2,76.4,48.8,64.2,75.0,1,2,7,1,Yes
Female,Rural,Electrical,Partial,No,Medium,Low,High,Frequent Issues,Both School,Yes,17,7117.0,17.02,94.4,59.9,71.6,81.2,1,9,3,3,Yes
Male,Semi-urban,Computer IT,Full,No,High,Low,High,Frequent Issues,Both School,No,24,26016.0,2.3,84.0,20.3,38.7,55.6,0,8,4,3,No
Female,Urban,Welding,Full,No,Medium,Medium,Medium,No Issues,Both School,No,16,5961.0,28.4,65.6,52.6,52.3,57.6,1,3,6,1,No
Male,Rural,Mechanical,Partial,No,Medium,High,Medium,Occasional Issues,Both School,No,22,27457.0,2.13,67.8,96.4,91.3,99.2,5,7,6,2,No
Female,Urban,Welding,Partial,No,Low,Low,High,Frequent Issues,Both College,Yes,20,15637.0,10.9,74.1,51.7,60.6,62.3,1,6,1,3,Yes
Male,Rural,Mechanical,Partial,No,High,High,Low,Occasional Issues,Mixed,No,19,5928.0,40.31,76.9,61.9,78.9,80.4,0,8,8,1,No
Male,Semi-urban,ECE,No,No,High,Low,High,Occasional Issues,Mixed,No,20,5527.0,15.4,55.6,42.8,39.5,62.4,2,7,6,2,Yes
Female,Rural,Electrical,Partial,No,Low,Medium,High,No Issues,Mixed,Yes,21,3759.0,1.76,79.9,55.2,86.9,77.6,0,9,3,6,Yes
Male,Semi-urban,ECE,Full,No,Medium,Low,Medium,Occasional Issues,Both School,Yes,21,5005.0,13.1,74.7,61.9,68.5,52.4,0,10,4,1,No
Male,Urban,Mechanical,Full,No,Medium,Medium,Low,Frequent Issues,No,No,23,4945.0,34.4,72.7,64.5,63.9,85.2,7,9,8,4,Yes
Male,Urban,Electrical,Partial,No,High,Low,Medium,Occasional Issues,No,No,16,28939.0,7.6,56.3,16.7,42.5,76.4,1,8,4,2,No
Male,Urban,Computer IT,Partial,Yes,Medium,Low,High,No Issues,Both School,No,20,6247.0,14.4,80.0,37.5,56.1,48.0,0,10,5,5,Yes
Male,Urban,Electrical,Partial,No,Low,Medium,Medium,Frequent Issues,Mixed,Yes,21,7545.0,2.0,67.0,38.2,35.0,40.0,9,3,1,4,Yes
Male,Urban,Welding,Full,No,Low,Medium,Medium,Occasional Issues,Mixed,No,18,10620.0,16.7,88.7,90.0,83.9,95.0,1,3,4,1,No
Male,Semi-urban,Electrical,No,Yes,Medium,Medium,Medium,No Issues,Both College,No,18,12792.0,11.0,73.9,62.3,93.9,91.7,0,7,4,1,No
Female,Rural,Computer IT,No,Yes,Medium,High,Medium,No Issues,Mixed,No,20,5045.0,15.24,65.1,59.6,85.6,84.4,2,10,5,1,No
Male,Rural,Electrical,Full,No,Low,Low,High,Occasional Issues,Mixed,No,16,7095.0,19.18,93.5,61.6,55.4,74.8,5,7,3,3,Yes
Male,Rural,Welding,Partial,No,High,Medium,Low,No Issues,No,No,26,3388.0,3.15,73.4,28.0,55.8,68.3,1,4,10,3,No
Male,Urban,Plumbing,Partial,Yes,Medium,Low,High,No Issues,Both College,No,19,9521.0,1.7,72.4,12.8,44.5,56.6,1,6,6,1,Yes
Male,Semi-urban,Electrical,Partial,No,Medium,Medium,Low,Frequent Issues,Both School,No,24,11655.0,7.2,88.3,89.3,50.3,58.6,0,7,4,3,No
Female,Semi-urban,Plumbing,Partial,No,High,Low,High,Frequent Issues,Both College,No,19,23731.0,3.6,72.2,81.7,69.6,67.3,0,5,6,1,No
Male,Urban,Mechanical,No,Yes,High,High,Medium,Occasional Issues,Both College,No,22,14051.0,14.9,86.1,55.5,84.1,100.0,3,8,6,2,No
Female,Semi-urban,Mechanical,Full,Yes,Low,Low,High,No Issues,Both School,No,25,13378.0,0.7,82.1,20.0,48.2,55.7,2,7,3,2,Yes
Male,Urban,Mechanical,Partial,No,High,Medium,High,Frequent Issues,No,Yes,19,2000.0,1.6,72.4,36.7,71.3,90.9,3,7,5,3,Yes
Male,Urban,Plumbing,No,Yes,Low,Low,Medium,Frequent Issues,Mixed,No,22,4738.0,3.6,92.1,70.4,50.7,67.4,0,5,3,2,Yes
Female,Rural,Electrical,Full,No,High,Medium,Low,Occasional Issues,Mixed,No,20,4834.0,26.4,90.5,25.3,52.9,53.8,0,8,8,2,No
Male,Rural,Welding,No,Yes,Low,High,Medium,Occasional Issues,Mixed,No,16,8434.0,10.3,87.3,65.3,80.5,87.6,0,6,5,3,No
Male,Semi-urban,ECE,Partial,No,High,Medium,Medium,Occasional Issues,Mixed,No,20,13895.0,2.0,85.9,45.4,81.9,100.0,5,6,7,3,Yes
Male,Rural,Welding,Partial,Yes,High,Medium,High,No Issues,No,Yes,19,2000.0,7.98,84.5,51.3,70.0,69.3,0,5,4,2,Yes
Male,Semi-urban,ECE,Partial,No,Medium,Low,High,Occasional Issues,Mixed,No,17,13398.0,8.7,87.5,81.4,84.9,100.0,0,7,5,3,No
Female,Rural,Computer IT,Partial,No,Medium,Low,Medium,Occasional Issues,Both College,Yes,19,4826.0,9.77,94.4,55.9,75.4,95.1,3,7,4,1,Yes
Male,Rural,Plumbing,Partial,No,High,Medium,Low,Frequent Issues,Both School,No,18,18385.0,7.31,78.3,80.6,60.4,67.4,0,6,6,1,No
Male,Semi-urban,Mechanical,Full,Yes,Medium,Medium,Medium,Occasional Issues,Both School,No,23,19339.0,41.5,87.7,38.7,49.4,81.3,5,7,7,2,Yes
Male,Rural,Mechanical,Partial,Yes,Medium,Medium,High,Frequent Issues,Both School,No,19,4787.0,0.65,80.7,78.1,71.6,68.6,2,9,5,1,No
Male,Semi-urban,Mechanical,No,No,Low,Medium,High,Occasional Issues,Both School,No,20,19359.0,4.2,69.9,52.0,74.2,89.7,1,8,6,4,No
Female,Urban,Plumbing,No,No,High,Medium,Low,No Issues,Mixed,No,18,20591.0,0.5,76.0,27.0,42.0,50.9,1,6,7,3,No
Female,Rural,Mechanical,No,No,High,Medium,Medium,No Issues,Mixed,No,16,25326.0,31.1,81.8,61.7,77.2,72.9,2,9,9,5,No
Female,Rural,Mechanical,Partial,Yes,High,Medium,Medium,No Issues,Both School,No,17,5529.0,20.99,76.5,60.7,89.9,100.0,0,7,8,1,No
